entity,attribute,answer
机械设计基础,作者,杨可桢，程光蕴，李仲生
高等数学,出版社,武汉大学出版社
线性代数,出版时间,2013-12-30
安德烈,国籍,摩纳哥
线性代数,isbn,978-7-111-36843-4
高等数学,书名,高等数学一（微积分）
万达广场,外文名,amoywandaplaza
李明,出生日期,1963.1
韩娱守护力,小说进度,连载
夏想,连载网站,潇湘书院
大学计算机基础,页数,272
城关镇,中文名,城关镇[临澧县]
李明,出生地,青海湟源
大学计算机基础,定价,25元
李军,职业,河南省林业厅党组成员、副厅长
文庙,中文名称,文庙
杨明,民族,苗族
毛泽东,装帧,平装(无盘)
西游记,类型,奇幻
王娟,性别,女
计算机应用基础,开本,16
周迅,公司名称,安徽龙润农业科技开发有限公司
博士来拜,类别,油画，壁画
李军,毕业院校,天津卫生职工医学院
陈平,国籍,中国
张宇,性别,女
城关镇,面积,134.27平方公里
城关镇,所属地区,中国西南
和平村,地理位置,山东省微山县南阳镇
西城社区,成立时间,2006年6月
王辉,职业,广东省广播电影电视局官员
东创建国,经营范围,整车销售、售后服务、配件供应
茴香,中文学名,茴香
王军,出生年月,1962年7月
丹顶鹤,界,动物界
王平,别名,原名王惟允，曾用名王明
李军,主要成就,中国美术学会会员中国陶瓷协会会员
tcl,公司性质,私企
城关镇,人口,5万
圆锥花序组,科,石竹科caryophyllaceae
匆匆那年,英文名,backintime
《兄弟》,类别,图书
刘勇,代表作品,《中国现代作家的宗教文化情结》
多花秋海棠,门,被子植物门angiospermae
类胡萝卜素,性质,色素
王军,籍贯,甘肃高台
命运石之门,游戏类型,假想科学adv
圆锥花序组,目,中央种子目centrospermae
凤凰山,地点,山西省定襄县
夜来香,纲,双子叶植物纲(magnoliopsida)，又称木兰纲。
亚历山大一世,逝世日期,前323年6月10日
李明,民族,汉族
吉字,拼音,jizi
富兰克林县,外文名称,"franklincounty,maine"
香橼,拉丁学名,citrus medic l.
花园村,行政区类别,乡村
辣子鸡,分类,湘菜，辣菜
圆锥花序组,属,石头花属gypsophila
王皓,身高,179cm
魔法少女奈叶,地区,日本香港台湾
秋日,创作年代,唐朝
哈姆雷特,导演,米歇尔·阿米瑞亚德
李派,特点,文戏唱腔韵味清醇，武戏武功精湛
江陵之战,时间,219年
蜢科,中文学名,虻科
哺乳动物,界,动物界animalia
三月三,别称,上巳节
李明,出生地,江苏常熟
关山月,文学体裁,诗歌
长柄船蛆,纲,双壳纲
金手指,门,被子植物
大花组,科,石竹科caryophyllaceae[cronquist系统]
哈姆雷特,制片地区,美国
费尔南多,运动项目,足球队员
福尔摩斯探案全集,译者,朱莉莉
李娜,体重,65kg
大花组,目,石竹目caryophyllales[cronquist系统]
《犯罪学》,作者,曹立群任昕
逸夫小学,创办时间,1996年
哈姆雷特,主演,伊桑·霍克，凯尔·麦克拉克伦，比尔·默瑞，列维·施瑞博尔，山姆·夏普德，朱丽娅·斯蒂尔斯
王辉,毕业院校,华师大本科
霸气,出处,《江宁吴少府宅饯宴序》
辣子鸡,主要食材,公鸡，糍粑辣椒，花椒，姜，大葱，大蒜，盐，酱油，味精，料酒，菜籽油
文庙,占地面积,6647.95平方米
《兄弟》,语种,中文
《红楼梦》,出版社,吉林文史出版社
心理学与生活,副标题,教育部心理指导委员会推荐用书
阿尔法,游戏大小,114.92mb
大花组,属,蝇子草属silene
城隍庙,地址,金华市区明月巷
哈姆雷特,上映时间,usa2000年1月24日
一本大学,属性,985工程211工程
《犯罪学》,出版时间,2008年3月
神雕侠侣,语言,华语
《因为我爱你》,装帧,平装
城关镇,所属地区,中国湖南省
大花组,分布,我国主要分布在辽宁、新疆等地。
边境牧羊犬,种,灰狼
玫瑰,分布区域,江苏、浙江、福建、山东、四川等地
礼物,发行时间,2010年12月
神雕侠侣,编剧,于正
萧皇后,本名,萧皇后
辣子鸡,口味,辣、开胃
万达广场,位置,佛山市南海区桂城桂澜路东侧
《犯罪学》,isbn,9.7873E+12
大花组,种,我国产2种1亚种。
棒棒糖蛋糕,主要原料,法国奶油法国果茸法国番石榴浆
城关镇,电话区号,854
新发村,海拔,1700.00米
离殇,释义,.离别，逝去（
《犯罪学》,价格,￥38.00
何伟,代表作品,《静物》、《西递村》入选全国建筑美术家作品展；1993年油画《秋之语》入选上海93油画展；1994年作品《花卉》、《窗》入选中国浦东首届中华艺术博览会；1995年作品《残阳》
《幽灵船》,开本,32开
红米手机,名称,小米红米手机
哈姆雷特,对白语言,英语
自热米饭,是否含防腐剂,否
张凯,别名,幽灵
花衣,注音,ㄏㄨㄚㄧ
小时候,歌曲原唱,南拳妈妈
橡树湾,开发商,华润置地（上海）有限公司
东北大学,简称,nu
鑫威kw9000es,产品类型,ipsan/nas一体化存储
城关镇,人口,7.1万人（2008年）
《犯罪学》,页数,268
城关镇,面积,44.41平方公里
刘丹,身高,166cm
哈姆雷特,片长,112分钟
罗罗,解释,1.疏朗放诞。
陈佳,星座,天蝎
福特野马,品牌,福特ford
东区,• 密度,"2,300/平方公里（5,900/平方英里）"
干酪菌属,亚纲,同担子菌亚纲
黑大咽齿鲷,英文名,negroswrasse
王玲,信仰,中共党员
嘿咻,拼音,heixiu
张敏,籍贯,河北武安
大花组,二名法,silenesect.elisanthe(fenzl)chateretwalter
斯普林菲尔德,时区,美国东部标准时间（utc-5）
山羊,亚纲,真兽亚纲
刘瑜,所处时代,金
腬,释义,优质肉。 肥美。盛。面色和柔的样子。
《红楼梦》,导演,胡雪扬
海德公园,楼盘名,海德公园
文庙,位于,湖南省新田县县城龙泉镇立新街
安乐村,隶属,云南省保山市隆阳区瓦窑镇
新安镇,行政区类型,乡镇
《红楼梦》,上映地区,中国大陆
我爱你,所属专辑,ep单曲
万达广场,建筑面积,53万平方米
哈姆雷特,出品时间,2000年
城关镇,地理位置,西邻京广铁路、107国道、京珠高速，北邻汤濮铁路、鹤濮高速，安长公路穿境而过。
月光,谱曲,黄戚尔
仙魔变,大小,1479610k
城关镇,上级行政区,忻城县
《红楼梦》,主演,钱惠丽；单仰萍；陈颖；方亚芬
《红楼梦》,上映时间,2005年
红楼梦,出品公司,中影集团、荣信达、华录百纳
文庙,著名景点,大成殿
卢卡斯,所属运动队,开拓者
丹特丽安的书架,原版名称,ダンタリアンの书架(ダンタリアンのしょか)（dantariannoshoka）
阿灵顿,• 夏令时,edt（utc-4）
张薇,政治面貌,中共党员
城关镇,行政区划代码,451321100
城关镇,气候条件,亚热带季风气候
王杰,出生,1963年5月
陈平,去世年月,公元前178年
要听爸爸的话！,丛书,jumpcomicssq.chingwinboycomic
《光荣之路》,画面颜色,彩色
黑叶猴,英文名称,françois’slangur
城关镇,村级区划单位数,24
政府贴息贷款,作用,可以扩大援助规模
小米手机4,屏幕尺寸,5英寸ips屏
刘军,政党,共产党
怪物猎人,游戏平台,家用机：ps2、wii、ps3、wiiu掌机：psp、3ds
城关镇,-社区数,3
城关镇,-行政村数,21
城关镇,地理、人口、经济,24°04′03″n108°39′49″e/24.0676°n108.66365°e坐标：24°04′03″n108°39′49″e/24.0676°n108.66365°e
粉我吧,公司口号,doitbyyourself!
哈姆雷特,色彩,黑白
我爱你,歌曲语言,国语
魅族,员工数,2000余人（2010年）
林肯县,网站,www.co.lincoln.wy.us
神雕侠侣,集数,40集
陈谦,字号,字八桂
海棠,亚科,苹果亚科
思诺思,药品名称,酒石酸唑吡坦片
万科金域蓝湾,物业类别,住宅
李娜,主要奖项,2011法网女单冠军2014澳网女单冠军wta单打冠军头衔：9
纳斯达克,创建时间,1971
孙悟空,登场作品,《轩辕剑叁外传：天之痕》
天龙八部,其它译名,新天龙八部
奥埃尔巴赫,邮编,5222
孙悟空,其他名称,卡卡罗特、格古洛
修正再购,定义,生产者市场的用户为了更好地完成
杨俊,国籍,中国
斯普林菲尔德,州,马萨诸塞州
鉴真素鸭,辅料,素蚝油、糖、盐、葱花、香油
毛泽东,又名,毛泽东革命者与建设者
辣条,适宜人群,儿童
钻石画,简介,树脂钻
天宁寺,编号,第三批，编号不详
白雅湖岛,酒店星级,★★★
杨洋,血型,o型
王宪,出生时间,1921年9月
overtherainbow,音乐风格,华语流行音乐
鞭打快牛,用法,作宾语、定语；指赏罚不公
轩辕剑,发行商,大宇资讯
哺乳动物,亚门,脊椎动物亚门vertebrata
李皇后,去世时间,1004年
山羊,亚门,脊椎动物亚门
岳阳市人民政府关于整治市中心城区沿湖砂石散货客运码头的通告,目的,提升城市品位
新房子村,属于,半山区
城关镇,邮政区码,558200
城关镇,下辖地区,15个村
《哈姆雷特》,影片片长,130分钟
各持己见,结构,动宾式
徐坚,职业,研究员，博士
梅花落,作者,鲍照
邪恶漫画,系列,卡列漫画
城关镇,地方特产,瓜类、蔬菜
矿物油,用途,润滑油，
天宁寺,时代,明代
圆锥花序组,族,石竹族trib.diantheae
大花组,亚科,石竹亚科subfam.caryophylloideae
公元432年,含义,是中国历史上的壬申年，在中国
河豚肉炒白菜,调料,适量盐，适量干红椒
温泉镇,方言,官话
ngc,上市时间,日本：2001年9月14日[1]
河南村,耕地面积,8750亩
模拟人生,发行日期,2000年2月4日（windowspc）2000年7月25日（macos）2003年3月24日（xbox）2003年7月9日（playstation2）
深渊蛙,姓名,十字蝌蚪
室内软装饰,正文语种,英语、简体中文
科姆潘,场上位置,:前锋
城关镇,知名产业,铁矿、重晶石、石灰石、粘土矿等金属非金属矿类
罗红霉素分散片,药品类型,工伤医保乙类双跨
车前薏米粥,配料,水
彻思叔叔,餐馆名称,彻思叔叔烘焙工坊
博略,省,卡尔瓦多斯省
伦敦大学学院,校训,cunctiadsintmeritaequeexpectentpraemiapalmae(让所有因其价值应得奖赏的人都来吧)
征服,评分,9
夜不成寐,出处,《夷坚志·乙志卷八·虔州城楼》
电视广播有限公司,成立,1967年11月19日（47岁60天，香港九龙广播道）
李洋,星座,双鱼座
月光,编曲,洪信杰
城关镇,车牌代码,贵j
博士来拜,年代,1461年
秦时明月,游戏类别,网页游戏
毁灭都市,上线时间,2013年8月
中山大学,现任校长,罗俊[2]
黄山途欢快捷酒店,酒店地址,黄山风景区汤口镇逍遥水街8号楼
believe,唱片公司,universal
圣地亚哥,外文名,saintjakob
朱江,学历,本科
杭州圆正艮秋宾馆,房间数量,76间/套
热血兄弟,游戏语言,英文，日语，韩语
周永康,个人资料,1942年12月（72岁）中华民国汪精卫政权江苏省无锡县周元根
蝴蝶,产地,韩国
万科金域蓝湾,楼盘地址,长沙市芙蓉区营盘东路与浏阳河风光带交界处
工厂食堂,对象,巴比
《红楼梦》,编剧,徐进
山羊,亚目,反刍亚目
小红参,中文别名,三叶鼠尾草、紫丹参、小红丹参（云南丽江）、
灰姑娘,发行公司,华特·迪士尼
薪酬管理,版次,4
李明,职称,管理学博士，教授
银行垫款,实质,被迫以自有资金代为支付的行为
高田ic,所在地,〒929-2111石川县七尾市高田町37°3′23.69″n136°53′45.99″e/37.0565806°n136.8961083°e
七大杀人武器,内容,要听话”用来杀自由
韩熙载夜宴图,尺寸,宽28.7厘米，长335.5厘米
西北大学,学校类型,综合性全国重点大学
城关镇,政府驻地,咀台村
移动金融领先银行,功能,银行卡完整地空中植入手机sim卡
杨洋,经纪公司,天娱传媒
傀儡师,来源,话剧表演
中国棒球联赛,主办单位,国家体育总局手曲棒垒运管中心
书剑恩仇录,制片人,王鹏举、尹廉和、区志仁
李明,出生日期,1946年11月
我们,歌曲时长,04：02
橡树湾,绿化率,30%
大花组,族,蝇子草族trib.sileneae
赤壁,作品出处,《列朝诗集》
朝花夕拾,字数,100千字
藤制家具,优点,藤制家具透气性强、手感清爽
财富广场,行政区域,即墨市
泼尼松龙,分子量,360.44
迈克尔·杰克逊,逝世,2009年6月25日（50岁）美国加利福尼亚州洛杉矶市荷尔贝山
丽纳尔斯咖啡馆,营业时间,09:00-00:00
金恒生eb8300,内存容量,128mb
ultravioletbypaulpairet,人均价格,5000
极乐吻鰕虎,亚目,鰕虎亚目gobioidei
三圣寺,原名,三义庙
李派,创始人,李少春
莡,笔画,7划
kindle,重量,190g
中山路,地位,屏东县枋寮乡的南北向主要道路
城关镇,下辖地区,辖9个社区居委会，9个村委会
定语,词性,名词
宕怪星,发现日期,"may24,1873"
寒神星,发现,1862年11月12
文庙,又称,岳州学宫
双江镇,所属国,中国
刘平,民族,汉族
极速冲浪,游戏站点,806k
昆腾scalari80(lsc18-ch4g-132h),存储容量,40000gb
地球,离心率,0.016710219
浸酸皮,物理特征,浸酸后的裸皮白净
地球,轨道倾角,0（7.25°至太阳赤道）
蝇,部首,虫部外笔画
莲子杏仁银耳粥,主料,银耳
白驹过隙,例句,《罗贯中·三国演义·第一零七回》：“维曰：‘人生如白驹过隙，似此迁延岁月，何日恢复中原乎？’”
海妖星,升交点黄经,125.637°
海妖星,近日点参数,195.436°
戏调,出自,《宋书·沉怀文传》
羧甲基纤维素钠,分子式,c8h16nao8
孙悟空,年龄,12-46岁
城隍庙,创建时间,公元1064年
路透社,公司类型,上市公司
warkey,软件大小,927kb
城东社区,成立于,2006年8月
李家村,年平均气温,13.5℃
山西大学,学生人数,6000
白云山,气候类型,中亚热带海洋性季风气候
万达广场,开业时间,2014年12月6日
国家级成都高新技术产业开发区,别名,成都高新区（南区、西区）
燕麦片,主要营养成分,beta葡聚糖，低密度脂肪蛋白，丰富的维生素，钙、磷、铁、锌、锰等矿物质
茶花女,拍摄地点,波兰
上海市亭林中学,教师人数,91人（2014）
ipad,操作系统,ios
克里斯蒂安·塔纳塞,惯用脚,右脚
nachi7320c/db轴承,内径,100.0000mm
matahariku,发行时间,2009
阿尔贝托·吉拉迪诺,球衣号码,11
阿尔忒弥斯,所属,奥林匹斯神族
宕怪星,小行星分类,mainbelt
博士来拜,规格,246x243厘米
行政自由裁量论,条形码,9.78781E+12
民主党,前身,1792年建立的民主共和党
南山站,所属公司,朝鲜总督府铁道局
孙悦,血型,b型
大庄严论经,朝代,晋朝
人民公园,占地,50000平方米
使命召唤：现代战争3,玩家人数,单人多人都可以
城关镇,总面积,75．1平方公里
天枢,赤经,11h03m43.70s
奥帝泊,组成,object；
会说话泰迪熊,应用版本,1.0.0.0
隶变,意义,汉字发展史上的一个里程碑
北京大学艺术学系,宗旨,美育列为国民教育
360极速浏览器,软件语言,简体中文，英语
facebook,领域,社交网站
时尚造型屋,游戏目标,经营时尚造型屋
巨蟹座,赤纬,20
城关镇,火车站,独山站
广东朝野科技有限公司,荣誉,aaa级中国质量信用企业
华纳我爱经典系列,专辑歌手,杜丽莎
使命召唤：现代战争3,游戏画面,好
长乐公主,民族族群,西魏
橡树湾,物业公司,华润置地（福州）物业服务有限公司
三星rv411-s0d,cpu型号,intel酷睿i5480m
三合乡,所属市,黑龙江省林甸县
伦贝格,人口（2011）,"3,901"
长沙站,建成时间,老站1912年；新站1977年
天宁寺,所在,市内
南京工业大学浦江学院,邮政编码,211816
管理学,出版社,经济管理出版社
失乐园,出版日期,2006-10
东湖,开放时间,08:00-17:00
橡树湾,容积率,1.7
美团网,年营业额,160亿元（2013年）[3]
首尔大学,主要院系,人文类、工学类、艺术类等
孙悟空,配音,野泽雅子（日本）王晓燕、刘艺（中国大陆）卢素娟、林国雄、谢洁贞（中国香港）贺世芳、赵明哲、于正升、于正昌、张文仪、李景唐（中国台湾）
晋青椒4号,审定编号,晋审菜（认）2011008
玄武,身份,天秤座黄金圣斗士
卧龙山,所在地区,中国四川绵阳市梓潼县卧龙镇境内
天龙八部,每集长度,45分钟
天宁寺,登录,1993年7月15日
《霍元甲》,电影公司,天津津源影视有限公司，华夏视听环球传媒有限公司，东阳环宇影视文化传媒有限公司，
索尼kdl-32w650a,产品定位,全高清电视
